-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,92,-1,-11,91,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
81,20,20,21,30,31,32,20,20,21,30,31,11,-1,-1,11,31,30,20,20,11,22,31,30,20,20,22,82
80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-11,89
80,-1,-11,-11,-11,-11,-1,-11,-11,-11,-11,-1,-11,-11,-11,-1,-11,-11,-11,-11,-1,-11,-11,-11,-11,-1,-11,89
80,-1,-11,81,11,82,-1,-11,81,11,82,-1,-11,81,82,-1,-11,81,11,82,-1,-11,81,11,82,-1,-11,89
80,-1,-11,91,-2,92,-1,-11,91,-2,92,-1,-11,88,89,-1,-11,91,-2,92,-1,-11,91,-2,92,-1,-11,89
80,-1,-1,21,11,20,-1,-1,31,11,21,-1,-11,88,89,-1,-1,31,11,21,-1,-1,30,11,31,-1,-11,89
80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-11,88,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-11,89
80,-1,-11,-11,-11,-11,-1,-11,-11,-11,-11,-1,-11,88,89,-1,-11,-11,-11,-11,-1,-11,-11,-11,-11,-1,-11,89
80,-1,-11,81,11,82,-1,-11,81,11,82,-1,-11,88,89,-1,-11,81,11,82,-1,-11,81,11,82,-1,-11,89
80,-1,-11,91,-2,92,-1,-11,91,-2,92,-1,-11,91,92,-1,-11,91,-2,92,-1,-11,91,-2,92,-1,-11,89
80,-1,-1,31,11,30,-1,-1,30,11,20,-1,-11,101,102,-1,-11,20,22,30,-1,-11,20,11,21,-1,-11,89
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-11,-11,-11,-11,-11,-1,-11,-11,-11,-11,-11,-1,-11,-11,-11,-11,-11,-1,-11,-11,-11,-11,-11,-1,-1,-1
80,-1,-11,-11,54,11,82,-1,-11,81,53,54,17,-10,-10,17,11,11,82,-1,-11,81,11,55,82,-1,-11,89
80,-1,-11,80,-1,-1,99,-1,-11,80,-2,-2,-2,-2,-11,-2,-2,-2,89,-1,-11,90,-1,-1,89,-1,-11,89
80,-1,-11,80,-1,-1,-1,-1,-11,80,-7,-2,-8,-2,-9,-2,-2,-2,89,-1,-1,-1,-1,-1,89,-1,-11,89
80,-1,-11,80,-1,-11,-11,-1,-11,80,-2,-2,-2,-2,-2,-2,-2,-2,89,-1,-11,-11,-11,-1,89,-1,-11,89
80,-1,-11,80,-1,89,82,-1,-1,17,-2,-2,-2,-2,-2,-2,-2,-2,17,-1,-11,79,80,-1,89,-1,-11,89
80,-1,-11,91,-1,91,92,-1,-1,17,32,53,11,11,32,11,53,11,17,-1,-11,79,80,-1,92,-1,-11,89
80,-1,-11,54,-1,19,20,-1,-1,-1,-1,-1,-1,-5,-1,-1,-1,-1,-1,-1,-11,21,90,-1,55,-1,-11,89
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-11,-11,-11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-11,-11,-11,-1,-1,-1,-1,-1,-1,-1,-11,81,82,-1,-1,-1,-1,-11,-11,-11,-1,-11,-11,-1,-1,-1
80,-1,-11,81,11,-1,-11,80,-1,-1,-1,-1,-11,88,89,-1,-1,-1,-1,-11,89,-1,-1,11,82,-1,-11,89
80,-1,-11,80,-1,-1,-11,91,-11,-11,-11,-1,-11,88,89,-1,-11,-11,-11,-11,92,-1,-1,-11,89,-1,-11,89
80,-1,-11,80,-1,-1,-1,31,21,20,82,-1,-11,91,92,-1,-11,90,20,30,31,-1,-1,-11,89,-1,-11,89
80,-1,-11,80,-1,-1,-1,-1,-1,-1,99,-1,-1,19,20,-1,-1,90,-1,-1,-1,-1,-1,-11,89,-1,-11,89
80,-1,-11,80,-1,-11,-11,-11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-11,-11,-11,-1,-11,89,-1,-11,89
80,-1,-11,80,-1,-11,91,92,-1,-1,-1,-1,-11,-11,-11,-1,-1,-1,-1,-11,91,92,-1,-11,89,-1,-11,89
80,-1,-11,80,-1,-1,21,30,-1,-11,89,-1,-11,81,82,-1,-11,80,-1,-1,19,20,-1,-11,89,-1,-11,89
80,-1,-11,80,-1,-1,-1,-1,-1,-11,89,-1,-11,88,89,-1,-11,80,-1,-1,-1,-1,-1,-11,89,-1,-11,89
80,-1,-11,91,-11,-11,-11,-1,-11,-11,92,-1,-11,91,92,-1,-11,91,-11,-1,-11,-11,-11,-11,92,-1,-11,89
80,-1,-11,54,37,55,11,-1,-11,11,32,-1,-1,30,31,-1,-11,54,11,-1,-11,36,22,55,102,-1,-11,89
80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-11,89
91,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-1,-1,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,92
11,11,11,11,11,11,11,11,11,11,11,11,11,-1,-1,11,11,11,11,11,11,11,11,11,11,11,11,11
